,posts_des,Non depression,,,
1,Please help me I have anxiety and depression  ,"Hi,im 11 years old I get bullied for my size and height and my thighs pls guess my height and age.....",,,
1,Since this this lock down I've been having my ups and downs I'm not been myself self lately my head is not in the right place I'm really struggling so bad I've just heard some really bad news and I'm feeling a bit emotional today so I need some support plz,"Could people stop with the "" Am I pretty? Am I handsome? "" Or even "" Am I ugly? "" for god sakes it's really annoying if you want something to cheer you up say something else other then AM I PRETTY ! ??????",,,
1,I'm afraid of dying. The fear of the unknown. When I'll die or what happens when I do. Keeps me up at night often.,Have you ever been inlove?? to someone who's inlove with someone else ??,,,
1,I want to commit suicide please is there a way that does not hurt?,Friends anyone?,,,
1,Totally me except insomnia..I have anxiety but I may have a little depression also,I use sleeping pills to get some sleep.........are there effects of using them everyday???,,,
1,Thank you so much. I have a diagnosis of depression and anxiety. I basically sit and wait for my next anxiety/ panic attack,Who is looking for a bf if u are hit me up and add me here,,,
1,My anxiety panic attacks and irritability are so bad that I have to take it 3 times a day once in the morning when I get up once around lunch time and once again at bedtime,i miss the old me?? the strong one the tough one.,,,
1,The love of my like left me she really left me n I really don't want to be alive I wanna die,We need each other to live in this world,,,
1,I feel so alone feels like I have nothing to live for anymore I just wanna give up,I need new friends,,,
1,he left me because I'm depressedÿ,SLEEP ISN'T SLEEP ANYMORE ITS AN ESCAPE,,,
1,: suicidal thoughts on my mind right now,I want Like Minded people around,,,
1,I'm tired of taking sleeping pills everydayÿ,"There are those with eyes full of tears but still say ""I'm fine ",,,
1,I miss the days when I had a smile on my face,I live in the kind of society  where you have to be thin?? or beautiful ?? to  be respected,,,
1,I'm Tired of Life,Want to b at a place where We can Open up With No judgments,,,
1,That moment when they said I'm not worth it..I'm useless asf,In need of some positive vibes ,,,
1,Today I just woke up feeling anxious. Have no reason why. I do have a lot of stress and responsibilities but nothing new but this feeling just doesn?t subside.,Hey guys i made a new snapchat I would love new people to speak to add everyone back ,,,Anyone 15-19 add my Snapchat I need some more friends 
1,Now I think suicide is the only way,Have you ever been inlove?? to someone who's inlove with someone else,,,
1,Everyday I think why am I still here,It's nice to have someone who can make u smile even they're not around,,,
1,"There is a cure for depression and mental illness. I have done it myself. If you have any problem, please contact me.  Herbal Treatment No any Side Effect",Are you in love with someone,,,
1,I?m always angry.,Sending good vibes this weekend love you guys remember we got this,,,
1,"Because if I?m angry, my anger will distract me from my depression.",Went on a date with my crush it was fun,,,
1,Anger.,I have put a lot weight because of medications. Please help! My parents body shame me all the time!,,,
1,TV bingeing is also a form of depression.,It's late night here 2am...I have an important presentation early tomorrow...just can't sleep ,,,
1,There are more psychic vampires here than depressed victims.,Why do people laugh at everything? I don't mean they crack up laughing but more like giggle at everything?,,,
1,Who else is boozing tonight?,"I'm not OK
But I smiled anyway",,,
1,"I miss my mom so much,I wish she was alive,I'm breaking down , depression is killing me!",Ever want it all to just end? That's where I am today,,,
